"Comment","LikeCount"
"Oh yeah it&#39;s finally here let&#39;s go and see it I&#39;m so excited to see 😍😍😍😍 it","2"
"Venom: Eddie I have a feeling this is our last dance<br><br>Eddie: ….. say that again","2"
"There is Knull, the trailer is just a cannon.","2"
"My life isn&#39;t complete without Venom.","2"
"Yep. Knull’s in this","2"
"Knulll oh wayyyyyy","2"
"Want Andrew or any spidey in this movie atleast a cameo","2"
"This looks terrible","1"
"I can&#39;t believe Thay put knull in venom 3 this is going be such a good movie.","1"
"ive practically watch the whole movie here.","1"
"Yes. Well. Whos&#39; hungry?","1"
"<a href=""https://www.youtube.com/watch?v=HyIyd9joTTc&amp;t=71"">1:11</a> Venom: SHUSHUSHUSHUSHUSH 😂😂","1"
"Thank god this is the end of the trilogy. this has to be the worst iteration of venom I&#39;ve seen in any form of media.","1"
"Venom: Boring as shit movie that Sony screwed up <br>Venom 2: Even more boring shit movie that Sony again screwed up<br>Venom 3: Sony reapeting the pattern of making shitty movies with the Spider-man ip.","1"
"I what to see CARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGECARNAGE","1"
